Название планеты,Тип планеты,Метод детектирования,ESI,Ratio of Semi-Major Axis to Stellar Radius,Equilibrium Temperature,Impact Parameter,Inclination,Orbital Period,Planet Radius (Earth Radius),Planet Radius (Jupiter Radius),Ratio of Planet Radius to Stellar Radius,Semi-Major Axis,Transit Duration,Time of Conjunction (Transit Midpoint),Insolation Flux (Earth flux),Transit Depth,Argument of Periastron,Eccentricity,Planet Mass* sin i (Mearth),Planet Mass* sin i (Mjup),Radial Velocity Amplitude,Planet Mass (Earth mass),Planet Mass (Jupiter mass),Planet Density (g/cm**3),Epoch of Periastron,Projected Obliquity,True Obliquity,Occultation Depth
TOI-904 c,M Warm Superterran,Transit,0.66,130,217.26,0.373,89.83,83.9997,2.167,0.1933,0.038,0.312,5.04,2459386.349,0.544859898680116,0.185659127671411
TOI-700 e,M Warm Terran,Transit,0.91,,272.897605775799,0.47,89.60,27.80978,0.9530,0.08502,0.0208,0.1340,2.777,2458964.8112,1.27,0.0406823251656641,70,0.0590
GJ 357 d,M Warm Superterran,Radial Velocity,0.58,,219.6,,,55.661,,,,0.204,,,0.38,,,,6.1,0.019,2.09
GJ 3293 d,M Warm Superterran,Radial Velocity,0.63,,,,,48.1345,,,,0.19394,,,0.59,,,0.12,7.60,0.0239,2.420
GJ 180 c,M Warm Superterran,Radial Velocity,0.70,,,,,24.329,,,,0.129,,,,,230,0.090,6.40,0.0201,2.31
GJ 433 d,M Warm Superterran,Radial Velocity,0.74,,,,,36.059,,,,0.178,,,,,159,0.070,5.223,0.01643,1.46
LP 890-9 c,M Warm Terran,Transit,0.89,55.94,272,0.697,89.287,8.457463,1.367,0.1220,,0.03984,0.9593,2459520.70598,0.906,0.6659,,,,,33.0,25.3,0.0796
LHS 1140 b,M Warm Superterran,Transit,0.66,95.3,226,0.23,89.86,24.73723,1.730,0.1543,0.07390,0.0946,2.15,2458399.9300,0.43,0.538,,0.043,6.09,0.0192,3.80,5.60,0.0176,5.9
Teegarden's Star b,M Warm Terran,Radial Velocity,0.97,,277,,,4.90634,,,,0.0259,,,1.08,,338,0.03,1.16,0.00365,2.09,,,,2458052.3
Teegarden's Star c,M Warm Terran,Radial Velocity,0.66,,209,,,11.416,,,,0.0455,,,0.35,,301,0.040,1.05,0.00330,1.43,,,,2458053.2
Kepler-705 b,M Warm Superterran,Transit,0.73,97.3,265,0.0180,89.9900,56.0560538,2.11,0.188,0.038247,0.2320,4.595,2455034.16561,0.900,0.1851,,0,,,,,,,
Kepler-452 b,G Warm Superterran,Transit,0.83,298.1,265,0.690,89.806,384.843,1.63,0.145,0.0128,1.046,10.63,2455147.985,1.10,0.0199,,0,,,,,,,
Kepler-1649 c,M Warm Terran,Transit,0.93,76.8,234,0.875,89.339,19.53527,1.06,0.0946,0.0420,.0649,1.07,2455410.9777,0.7500,0.17320,,0,,,,,,,
K2-9 b,M Warm Superterran,Transit,0.70,26.30,314,0.9261,87.983,18.4498,2.25,0.201,0.06669,0.0910,2.8397,2456822.6712,1.36,0.283,,,,,,,,,
GJ 367 d,M Warm Superterran,Radial Velocity,0.71,,,,,34.369,,,,,,2459181.82,,,-126,0.14,6.03,0.0190,2.03,,,,
Kepler-1544 b,K Warm Superterran,Transit,0.79,163.2,269,0.584,89.7970,168.811174,1.78,0.159,0.021983,0.5421,6.5,2455044.44085,0.833,0.0601,,0,,,,,,,
Kepler-1410 b,K Warm Superterran,Transit,0.80,96.90,290,0.423,89.7500,60.866168,1.78,0.159,0.027368,0.2543,4.42,2455012.28498,1.06,0.0882,,0,,,,,,,
Kepler-1606 b,G Warm Superterran,Transit,0.70,151.8,324,0.48,89.8140,196.435224,2.07,0.185,0.022241,0.6421,8.602,2455006.7051,1.290,0.0605,,0,,,,,,,
Kepler-1653 b,K Warm Superterran,Transit,0.74,146.7,284,0.52,89.7880,140.2524,2.17,0.194,0.0286,0.4706,6.60,2455008.134,0.980,0.0665,,0,,,,,,,
HD 216520 c,K Warm Superterran,Radial Velocity,0.63,,,,,154.43,,,,0.528,,,,,198.12,0.12,9.440,0.02970,1.29,,,,
TRAPPIST-1 g,M Warm Terran,Transit,0.58,84.591,197.3,0.379,89.742,12.352446,1.129,0.1007,0.08692,0.04683,1.1370,2457665.3628439,0.252,0.7555,191.34,0.00208,,,,1.321,0.004156,5.06,
Kepler-283 c,K Warm Superterran,Transit,0.79,132.45,240,0.44,89.99,92.743711,1.82,0.162,0.491862,0.341,6.279,2455006.31145,0.949,0.1301,,0,,,,,,,
K2-18 b,M Warm Superterran,Transit,0.70,83.83,284,0.641,89.5785,32.939623,2.37,0.211,0.05375,0.1429,2.663,2457264.39144,1.005,0.285,-5.70,0.20,,,3.55,8.920,0.02807,4.11,
TRAPPIST-1 d,M Warm Subterran,Transit,0.91,40.216,286.2,0.0630,89.896,4.049219,0.788,0.0703,0.06063,0.02227,0.8145,2457670.1463014,1.115,0.3676,-8.73,0.00837,,,,0.388,0.00122,4.37,
GJ 1002 b,M Warm Terran,Radial Velocity,0.86,,230.9,,,10.3465,,,,0.0457,,2458583.27,0.670,,,,1.08,0.00340,1.31,,,,
Wolf 1061 c,M Warm Superterran,Radial Velocity,0.80,,,,,17.8719,,,,0.0890,,,1.30,,37,0.11,3.41,0.0107,1.92,,,,
GJ 682 b,M Warm Superterran,Radial Velocity,0.57,,,,,17.478,,,,0.080,,,,,86,0.080,4.4,0.014,2.99,,,,
TRAPPIST-1 e,M Warm Terran,Transit,0.85,52.855,249.7,0.191,89.793,6.101013,0.920,0.0821,0.07079,0.02925,0.9293,2457660.3676621,0.646,0.5012,108.37,0.00510,,,,0.692,0.00218,4.90,,9.0
Kepler-1701 b,K Warm Superterran,Transit,0.71,100.6,273,0.754,89.57,169.134,2.2218620686821886,0.19822125690803719,0.025256,.5608,8.5024,2455034.814934,1.31,0.0683,,0,,,,,,,,
Kepler-62 e,K Warm Superterran,Transit,0.83,144,270,0.06,89.98,122.3874,1.61,0.144,0.0232,0.427,6.92,2454983.404,1.321,0.070,,0,,,,36,0.113,,,
GJ 514 b,M Warm Superterran,Radial Velocity,0.52,,202,,,140.43,,,,0.422,,,0.28,,-143,0.45,5.2,0.016,1.15,,,,2458696.21,
Kepler-62 f,K Warm Terran,Transit,0.68,243,208,0.41,89.90,267.291,1.41,0.126,0.0203,0.718,7.46,2455422.710,0.466,0.042,,0,,,,35,0.110,,,
TOI-715 b,M Warm Terran,Transit,0.81,,234,0.195,89.856,19.288004,1.550,0.1383,0.0618,0.0830,1.980,2459002.63051,0.67,0.448,,,,,,,,,,
Kepler-22 b,G Warm Superterran,Transit,0.72,186.4,279,0.768,89.764,289.863876,2.10,0.187,0.020319,0.812,7.3562,2454966.7001,1.013,0.0492,,0.72,,,1.6,9.1,0.029,5.2,,
K2-3 d,M Warm Terran,Transit,0.81,79.4,305.2,0.24,89.82,44.55603,1.458,0.1301,0.02449,0.2014,4.17,2457271.78796,1.44,0.0782,0.0,0.0910,,,0.39,2.2,0.0069,2.1,,
Kepler-174 d,K Warm Superterran,Transit,0.68,224.6,212,0.09,89.99,247.353730,2.19,0.195,0.032383,0.677,8.773,2455197.15875,0.530,0.1313,,0,,,,,,,,
Kepler-440 b,K Warm Superterran,Transit,0.75,99.0,229,0.09,89.93,101.11141,1.86,0.17,0.03038,0.242,7.95,2455756.2986,1.20,0.0905,,0.34,,,,,,,,
Kepler-442 b,K Warm Terran,Transit,0.84,146,241,0.22,89.94,112.3053,1.34,0.12,0.0211,0.409,5.62,2455849.5578,0.66,0.0648,,0.04,,,,,,,,
Ross 128 b,M Warm Terran,Radial Velocity,0.86,,301,,,9.8658,,,,0.0496,,,1.38,,,0.116,1.40,0.00440,1.39,,,,,
TOI-2257 b,M Warm Superterran,Transit,0.72,,256,0.374,89.786,35.189346,2.194,0.1957,0.06423,0.145,3.846,2459007.97949,0.670313151394079,0.413,-101.674,0.496,,,,,,,,
GJ 273 b,M Warm Terran,Radial Velocity,0.85,,,,,18.6498,,,,0.091101,,,1.06,,,0.10,2.89,0.00909,1.61,,,,,
GJ 163 c,M Warm Superterran,Radial Velocity,0.69,,,,,25.63058,,,,0.1254,,,,,227.00,0.0990,6.8,0.021,2.75,,,,2455057.7,
TRAPPIST-1 f,M Warm Terran,Transit,0.68,69.543,217.7,0.312,89.740,9.207540,1.045,0.09323,0.08040,0.03849,1.0480,2457671.3737299,0.373,0.6465,368.81,0.01007,,,,1.039,0.003269,5.02,,21
GJ 1061 c,M Warm Terran,Radial Velocity,0.86,,,,,6.689,,,,0.035,,,1.4,,88.0,0.29,1.74,0.00547,2.48,,,,2458300.2,
HN Lib b,M Warm Superterran,Radial Velocity,0.65,,234.4,,,36.116,,,,0.1417,,2457436.3,0.503,,,0.0790,5.46,0.0172,2.59,,,,,
Kepler-1638 b,G Warm Superterran,Transit,0.76,127.3,304,0.0140,89.9954,259.33683,1.87,0.167,0.018301,0.745,15.979,2454998.6905,2.760,0.0395,,0,,,,,,,,
Kepler-1652 b,M Warm Terran,Transit,0.83,91.0,268,0.0110,89.9927,38.09722,1.60,0.143,0.0387,0.1654,3.24,2454973.0045,0.81,0.0977,,0,,,,,,,,
Kepler-186 f,M Warm Terran,Transit,0.61,178,177,0.13,89.96,129.9441,1.17,0.104,0.0205,0.432,5.62,2455789.4940,0.30,0.0616,,0.04,,,,,,,,
Kepler-1229 b,M Warm Terran,Transit,0.62,134.6,212,0.006800,89.9971,86.828989,1.40,0.125,0.024684,0.3006,6.001,2455022.26884,0.524,0.0857,,0,,,,,,,,
Kepler-155 c,M Warm Superterran,Transit,0.73,88.72,286,0.78,89.4950,52.661793,2.24,0.200,0.03431,0.242,3.188,2455016.51681,1.03,0.1088,,0,,,,,,,,
GJ 180 d,M Warm Superterran,Radial Velocity,0.48,,,,,106.300,,,,0.309,,,,,155,0.14,7.56,0.0238,2.08,,,,,
GJ 1002 c,M Warm Terran,Radial Velocity,0.58,,181.7,,,21.202,,,,0.0738,,2458585.54,0.257,,,,1.36,0.00428,1.30,,,,,
HD 40307 g,K Warm Superterran,Radial Velocity,0.66,,255,,,197.8,,,,0.600,,,,,91.7,0.29,7.1,0.0223,0.95,,,,,
K2-72 e,M Warm Terran,Transit,0.87,64.53,,,89.68,24.158868,1.29,0.115,0.035758,0.106,2.25,2456987.054,1.2,,11.3900000,0.110000,,,,,,,,
Kepler-443 b,K Warm Superterran,Transit,0.71,151,233,0.26,89.94,177.6693,2.33,0.21,0.0304,0.495,8.95,2455630.2460,0.86,0.0954,,0.11,,,,,,,,
K2-332 b,M Warm Superterran,Transit,0.73,66.30,266,0.39,,17.706320,2.20,0.196,0.0707,,2.03,2457156.420746,,0.677,,,,,,,,,,
